thisRow.t,notes,Welcome_Scree.started,textWelcomeMessage.started,textWelcomeContinuos.started,textWelcomeMessage.stopped,textWelcomeContinuos.stopped,Welcome_Scree.stopped,trial.started,trial.stopped,Good_Bye.started,Good_Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.010718400008045137,0.021715200011385605,2.001717999999528,2.034810400000424,7.00570670000161,6.997406300011789,,,,,1,001,2024-05-17_02h33.48.336,Orientation,2024.1.4,None,2024-05-17 02h34.11.790266 +0530,
,,,,,,,,6.997432300006039,6.997710700001335,,,1,001,2024-05-17_02h33.48.336,Orientation,2024.1.4,None,2024-05-17 02h34.11.790266 +0530,
,,,,,,,,6.997729100010474,6.997985000009066,,,1,001,2024-05-17_02h33.48.336,Orientation,2024.1.4,None,2024-05-17 02h34.11.790266 +0530,
,,,,,,,,6.998007000001962,6.998299400001997,,,1,001,2024-05-17_02h33.48.336,Orientation,2024.1.4,None,2024-05-17 02h34.11.790266 +0530,
,,,,,,,,,,6.9983266000053845,6.998802300004172,1,001,2024-05-17_02h33.48.336,Orientation,2024.1.4,None,2024-05-17 02h34.11.790266 +0530,
